# R = Reference implementation exists. (bcpoc or cherteau; or maybe embedded in some other project)
# C = Player count. 1 or 2.
# E = Extra prizes.
# D = Done.
# Opponent and Zone aren't set in stone, just throwing some ideas out there.
#RC____D NAME              OPPONENT           ZONE
  2____D Apples            Boblin             Goblins
  2____D ArmWrestling      Minotaur           Labyrinth
 R2      Balacing          Orangutan          Jungle
  2____D Bobsleigh         IceDragon          IcePalace
  2      BodySlam          Yak                Tundra
  2      Bombing           Grenadier          Battlefield
  2____D Boomerang         Koala              Desert
  2      Bouncing          Squirrel           Woodland
  2      Breaching         Whale              Sea
 R2____D BroomRace         Witch              Labyrinth
  2____D Building          Contractor         Fractia
  2      Burrowing         Mole               Cave
  2____D CakeCarrying      Baker              Fractia
  2____D Calligraphy       Elephant           Jungle
  2      Cartography       Geographer         Tundra
  2      CeilingTouching   Giant              Cave
  1____D Cheating          Hustler            Fractia
  1____D Chess             Sage               Labyrinth
  2____D CheeseCutting     Executioner        Fractia
  2E___D Chopping          Goat               Farm
  1      Cinematography    Filmmaker          Woodland
  2      ClamBaking        Dragon             Sea
  2      Climbing          Spider             Desert
  2____D Cobbling          Coblin             Goblins
  2      Conducting        Conductor          Desert
  2____D Counting          Vampire            Labyrinth
  2____D CPR               Nurse              Fractia
  2      Crossing          Frog               Farm
  2____D Crying            Soblin             Goblins
  2____D Curling           IceDragon          IcePalace
  2      Cutting           Seamstress         Farm
 R2      DanceOff          Rooster            Farm
  2____D Dissection        Doctor             Fractia
  2      Distancing        Wolf               Woodland
  2      Diving            Penguin            Tundra
 R2      Dodging           Pheasant           Woodland
  1      Drawing           Gunslinger         Desert
  2____D Erudition         Snoblin            Goblins
  2____D Exterminating     Soldier            Battlefield
  2      Extinguishing     Rhinoceros         Jungle
  2      Fanning           Courtier           City
  2____D Fencing           Samurai            Fractia
  2____D FigureSkating     IceDragon          IcePalace
  2      Fire              Fox                Woodland
  2      Fission           Fishicist          Sea
  2E___D Fishing           Leopard            Jungle
  2____D Flapjack          Cook               Fractia
 R2      Flapping          Albatross          Sea
